date,close
2022-09-27,354.97
2022-09-28,355.02
2022-09-29,352.55
2022-09-30,341.33
2022-10-03,332.28
2022-10-04,341.88
2022-10-05,343.67
2022-10-06,346.19
2022-10-07,346.99
2022-10-10,341.8
2022-10-11,336.29
2022-10-12,338.04
2022-10-13,332.74
2022-10-14,338.59
2022-10-17,334.05
2022-10-18,343.61
2022-10-19,343.11
2022-10-20,342.01
2022-10-21,341.79
2022-10-24,344.57
2022-10-25,347.91
2022-10-26,342.44
2022-10-27,343.26
2022-10-28,339.38
2022-10-31,350.83
2022-11-01,351.1
2022-11-02,347.9
2022-11-03,345.25
2022-11-04,347.27
2022-11-07,342.17
2022-11-08,344.84
2022-11-09,346.81
2022-11-10,342.29
2022-11-11,350.91
2022-11-14,352.33
2022-11-15,348.9
2022-11-16,348.51
2022-11-17,344.99
2022-11-18,346.52
2022-11-21,347.11
2022-11-22,345.69
2022-11-23,348.58
2022-11-24,345.27
2022-11-25,346.31
2022-11-28,343.53
2022-11-29,342.7
2022-11-30,342.44
2022-12-01,348.55
2022-12-02,345.2
2022-12-05,344.77
2022-12-06,340.41
2022-12-07,337.4
2022-12-08,336.01
2022-12-09,336.1
2022-12-12,333.31
2022-12-13,339.38
2022-12-14,338.05
2022-12-15,334.57
2022-12-16,328.8
2022-12-19,328.69
2022-12-20,326.58
2022-12-21,330.39
2022-12-22,335.02
2022-12-23,329.63
2022-12-28,329.95
2022-12-29,327.35
2022-12-30,332.65
2023-01-03,334.93
2023-01-04,330.11
2023-01-05,333.54
2023-01-06,334.55
2023-01-09,333.84
2023-01-10,333.48
2023-01-11,336.49
2023-01-12,339.71
2023-01-13,340.62
2023-01-16,341.18
2023-01-17,339.67
2023-01-18,335.77
2023-01-19,328.86
2023-01-20,328.66
2023-01-23,334.8
2023-01-24,339.79
2023-01-25,337.07
2023-01-26,337.55
2023-01-27,341.82
2023-01-30,338.95
2023-01-31,339.53
2023-02-01,344.37
2023-02-02,347.49
2023-02-03,352.51
2023-02-06,354.63
2023-02-07,357.21
2023-02-08,358.56
2023-02-09,355.73
2023-02-10,348.85
2023-02-13,353.45
2023-02-14,353.37
2023-02-15,357.43
2023-02-16,358.65
2023-02-17,354.71
2023-02-20,353.53
2023-02-21,348.93
2023-02-22,344.93
2023-02-23,347.77
2023-02-24,346.86
2023-02-27,347.09
